rank,peak,all_time_peak,actual_gross,adjusted_gross_(2022_dollars),artist,tour_title,shows,average_gross,ref.,start_year,end_year
1,1,2,780000000.0,780000000,taylor_swift,the_eras_tour,56,13928571,1,2023,2024
2,1,"7,2",579800000.0,579800000,beyonce,renaissance_world_tour,56,10353571,3,2023,2023
3,"1,4","2,5",411000000.0,560622615,madonna,sticky_and_sweet_tour,85,4835294,6,2008,2009
4,"2,7","10,7",397300000.0,454751555,pink,beautiful_trauma_world_tour,156,2546795,7,2018,2019
5,"2,4",,345675146.0,402844849,taylor_swift,reputation_stadium_tour,53,6522173,8,2018,2018
6,"2,4","10,9",305158363.0,388978496,madonna,the_mdna_tour,88,3467709,9,2012,2012
7,"2,10",,280000000.0,381932682,celine_dion,taking_chances_world_tour,131,2137405,11,2008,2009
7,,,257600000.0,257600000,pink,summer_carnival,41,6282927,12,2023,2024
9,,,256084556.0,312258401,beyonce,the_formation_world_tour,49,5226215,13,2016,2016
10,,,250400000.0,309141878,taylor_swift,the_1989_world_tour,85,2945882,14,2015,2015
11,,,,283202896,beyonce,the_mrs._carter_show_world_tour,132,1735606,"15,16",2013,2014
12,,"14,17",227400000.0,295301479,lady_gaga,the_monster_ball_tour,203,1118227,18,2009,2011
13,,,204000000.0,251856802,katy_perry,prismatic_world_tour,151,1350993,19,2014,2015
14,"1,20",,200000000.0,299676265,cher,living_proof_the_farewell_tour,325,615385,20,2002,2005
15,"2,c",,194000000.0,281617035,madonna,confessions_tour,60,3233333,5,2006,2006
16,,,184000000.0,227452347,pink,the_truth_about_love_tour,142,1295775,22,2013,2014
17,,,170000000.0,213568571,lady_gaga,born_this_way_ball,98,1734694,d,2012,2013
18,,,169800000.0,207046755,madonna,rebel_heart_tour,82,2070732,4,2015,2016
19,,,,204486106,adele,adele_live_2016,121,1385950,25,2016,2017
20,,,150000000.0,185423109,taylor_swift,the_red_tour,86,1744186,26,2013,2014
